desc,img,title
"Like gods, doctors hold the lives of their patients in the palms of their hand. When doctors go bad who will stand up to them when the law is powerless? E.D.D is the fabled agency that works to rid so...",https://cdn.myanimelist.net/r/50x70/images/manga/3/173961.jpg?s=c2b49053e0bf80ca10a713060a60da0c,E.D.D: Eliminate Dangerous Doctors
"Erina Matsumoto is the person every high-school student dreams of being. She is intelligent, attractive, and has a warm personality—the ""perfect student,"" as acknowledged by classmates and teachers al...",https://cdn.myanimelist.net/r/50x70/images/manga/1/199662.jpg?s=f0174267cd138495d39fff189b06ebfb,E.R.I.N.A.
,https://cdn.myanimelist.net/r/50x70/images/manga/1/61463.jpg?s=973c311751a73ad604161739bece0a35,E.re.ga
,https://cdn.myanimelist.net/r/50x70/images/manga/2/175516.jpg?s=c0147741c8e88f187de3fb0b3b99df33,E.S.P! Ero Sukebe Power!
1. Shinmitsu na Himitsu♥ 2. Kanojo wa Paidoru♥ 3. Shinmitsu na Himitsu♥ Sono 2: Kusai Naka 4. Course Record 5. Curtain Call Oh! Mai Bunny 6. Off... 7. Shinmitsu na Himitsu♥ Sono 3: Hikawa-kun no Yuuut...,https://cdn.myanimelist.net/r/50x70/images/manga/2/155719.jpg?s=90832f07b88dd75ca9d5de070545ddb8,E.Stage Companions
"An athletically-challenged middle-school student, Hiyori Inaba, is suddenly told by her father that, ""he was once a Ninja!"". Then, the moment she opened a cellphone box her father gave her, she sudden...",https://cdn.myanimelist.net/r/50x70/images/manga/1/203700.jpg?s=d666fbb5bd17bec60f8aed05c121f2a9,E.T.O.
"High schooler Sugatami Akira has had an unrequited love for classmate Kitajima Miyoko since they were in grade school together, but Akira has always been too nervous to confess to Miyoko. At the same...",https://cdn.myanimelist.net/r/50x70/images/manga/3/151454.jpg?s=b2358869fadda8fa1d358e1c916ab4e1,E:capriccio
"Eagle is the story of a US Presidential election in which the Democratic Party nominee is a Japanese-American, seen largely through the eyes of a young Japanese reporter covering the campaign for a ma...",https://cdn.myanimelist.net/r/50x70/images/manga/1/96559.jpg?s=3d9100405bf6b84110f6a9d42b71998b,Eagle
,https://cdn.myanimelist.net/r/50x70/images/manga/2/32306.jpg?s=722050dd7b58a0941b0a4ead0bd41a21,Eagle Diver
An anthology by various hentai mangaka.,https://cdn.myanimelist.net/r/50x70/images/manga/3/156615.jpg?s=137cda1c214b5336a8462c1351f99e40,Early☆Teens
"This story takes place thousands of years ago, in an era before modern civilizations. Our protagonist Sakina decides to venture forth to find the rumored Smoke Mountain, a village ran by a female chie...",https://cdn.myanimelist.net/r/50x70/images/manga/3/106233.jpg?s=fddcb22f844804951235cf685b299036,Earth Girls
"It's present day, and Archangel Michael is fed up with the pathetic development of the human species. The angels, in their world high above ours, have been given the choice between destroying or prese...",https://cdn.myanimelist.net/r/50x70/images/manga/3/257643.jpg?s=1396f92fe119701dfbe68e137c73fc51,Earthian
,https://cdn.myanimelist.net/r/50x70/images/manga/1/132797.jpg?s=ad48744298b4dd301f17c1a03cc1c0aa,Earthlight Wars: Warenu Shoujo to Semi no Ou
"The first two stories, which give the name to the volume (Eastern Eastern 1 and 2), tell the tale of the historic moment in which Japan became ...""occidental,"" through the eyes of a young boy who cher...",https://cdn.myanimelist.net/r/50x70/images/manga/1/56341.jpg?s=2d3aab9137c0c867bba0c7992071fcd6,Eastern Eastern
"Monica has finally gotten her dream job as a reporter. However her boss is the devil and the company feels like hell—working life is indeed different! For her first assignment, she has to disguise as...",https://cdn.myanimelist.net/r/50x70/images/manga/3/152291.jpg?s=0c42a10216863d5191620673c9977698,Easy Writer
A tale about a prim and proper teacher losing control of a desire he's pushed down into the depths of his soul.,https://cdn.myanimelist.net/r/50x70/images/manga/3/265835.jpg?s=bf328788a491646b5c88cb72e7962c14,Eat
,https://cdn.myanimelist.net/r/50x70/images/manga/3/94349.jpg?s=d15988e90284ec4800dd87c99db49138,Eat Me!
"Bolt Crank travels the world as the World's Greatest Mercenary. He got that moniker due to his skills, as well as his ability to eat anything, and then reproduce it in his right hand. During his adven...",https://cdn.myanimelist.net/r/50x70/images/manga/2/173371.jpg?s=0cd39b3f4edcc58eda573de378315ac0,Eat-Man
"Yoshitomi Akihito revisits the Eat-Man universe 11 years after its last publication. This time a vast amount of time have passed since the previous installment, and the civilizations he visited in the...",https://cdn.myanimelist.net/r/50x70/images/manga/2/219707.jpg?s=2c430a3c72266cf97a6c63b991d67e57,Eat-Man: The Main Dish
"Aliens are taking possession of humans so they can fight their war. In Space, the Columbia shuttle is attacked by one of them and comes crashing to earth. Thus the story takes place depicting the stru...",https://cdn.myanimelist.net/r/50x70/images/manga/2/203394.jpg?s=73985c18646cb6d95592b538575f4b0f,Eater
A university student training to be a veterinarian finds everyday life put into jeopardy when a mysterious group unleashes rabid animals into the city.,https://cdn.myanimelist.net/r/50x70/images/manga/2/197324.jpg?s=ff3dbe4094d88ed4f7c205b380cb3b20,Eaters Fang
"Yuuki's got the hots for Shirahama. All he's got to do is confess his undying love for her. The only problem is: he just can't do it! Every time he tries to tell her how he feels, he ends up chickenin...",https://cdn.myanimelist.net/r/50x70/images/manga/2/153555.jpg?s=bd80ea95ed471e838bc5c7af813f6d81,E→Robot
,https://cdn.myanimelist.net/r/50x70/images/manga/3/44823.jpg?s=a7444a388b027ec5c916f67862b59271,Eb★Star
,https://cdn.myanimelist.net/r/50x70/images/manga/3/203263.jpg?s=0196b4c716055e4ef8450ffcbf7be79c,Ebigawa-chou no Youkai Café
,https://cdn.myanimelist.net/r/50x70/images/manga/3/20769.jpg?s=3d1889948c5df2d6ed380a80d20070c6,Ebihara-san Chi wa Kyou mo Taihen!
,https://cdn.myanimelist.net/r/50x70/images/manga/2/20770.jpg?s=d3b22fa3e78f5b1bf90f196d5791fb65,Ebihara-san Chi wa Kyou mo Taihen! - The Second Part
"Taira works part-time at a convenience store with his senior, Ebihara. Taira just can’t get along with Ebihara. He’s a blunt, yet good-looking guy who effortlessly attracts lots of attention from many...",https://cdn.myanimelist.net/r/50x70/images/manga/1/48445.jpg?s=0f4b0f97b4d04ec6bbc2555770a4235a,Ebihara-san no Iutoori
"When Masachika Ebisu arrives to stay for the first time in a dorm at a remote boarding school in the mountains, his attendant Shibazaki calls on the roommate Wataru Tamon to take care of master Masach...",https://cdn.myanimelist.net/r/50x70/images/manga/2/82156.jpg?s=51fedee883cad2e7da449162f2063673,Ebisu
"A long-awaited comic series which is a collaboration with the rising stars ""EBiDAN39""! A teenage prodigy… and also a dropout?! Follow the school life adventures of 6 unique and unconventional students...",https://cdn.myanimelist.net/r/50x70/images/manga/3/170926.jpg?s=153e9709ba7d891fc0a37d8a3132e494,Ebisu Gakuen Chuutouka Nichiyou Hoshuugumi Tanteidan
,https://cdn.myanimelist.net/r/50x70/images/manga/1/168716.jpg?s=1ecd77b05b8baae9c1fd36be145b8c67,Ebisu Ginza Tengoku
"An office worker, Hotei, is not pleased when high-flyer Ebisu is transferred to her branch. (Source: Lililicious)",https://cdn.myanimelist.net/r/50x70/images/manga/4/34283.jpg?s=a632279945210dff58eb1053bf528555,Ebisu-san to Hotei-san
,https://cdn.myanimelist.net/r/50x70/images/manga/2/160214.jpg?s=75fd0b5eaa04e8485831d079ed634331,Ebiten: Kitan Kitan
